№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1;1197746614647;15.10.2019;6;28.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;39;31;2;;Ликвидировано (28.11.2024).;;1 938 773 000;5 911 580 000;1 908 439 000;143 808 000;;525 422 000;1 048 935 000;715 605 000;637 889 000;;470 103 000;969 009 000;712 069 000;632 730 000;;1 934 224 000;5 901 379 000;1 650 304 000;102 304 000;;
2;1177847143209;20.04.2017;8;19.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;6;4;40;40;;Ликвидировано (19.09.2024).;;48 025 000;16 439 000;1 231 274 000;2 944 739 000;;2 028 000;226 000;566 594 000;305 999 000;;639 000;212 000;279 228 000;12 360 000;;48 025 000;16 439 000;1 231 274 000;2 944 739 000;;
3;1192375088597;24.12.2019;5;27.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;26;;;;Ликвидировано (27.05.2022).;;336 701 000;289 836 000;;;;82 255 000;24 292 000;;;;78 151 000;25 632 000;;;;335 534 000;289 816 000;;;;
4;1116450003108;05.04.2011;14;18.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;11;22;51;;;Прекратило деятельность при присоединении (18.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";57 069 000;70 851 000;98 490 000;;;45 399 000;55 843 000;82 265 000;;;20 712 000;22 226 000;33 249 000;;;55 474 000;69 295 000;97 197 000;;;
5;1195958015164;25.04.2019;6;13.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;26;26;24;21;Прекратило деятельность при присоединении (13.03.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";24 696 000;42 647 000;49 178 000;55 476 000;56 252 000;11 685 000;26 036 000;25 866 000;39 805 000;31 452 000;4 528 000;6 182 000;5 753 000;11 316 000;1 700 000;24 114 000;39 953 000;49 059 000;55 344 000;54 858 000;1 263 000
6;5147746425635;28.11.2014;10;22.09.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;15;;;;Ликвидировано (22.09.2022).;"""Получатели поддержки правительства Москвы""";36 640 000;16 877 000;;;;20 951 000;23 063 000;;;;225 000;396 000;;;;36 610 000;16 300 000;;;;
7;1151690102332;07.12.2015;9;12.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;11;12;13;19;16;Ликвидировано (12.08.2025).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";163 444 000;139 968 000;9 279 000;8 785 000;5 549 000;45 426 000;43 695 000;10 995 000;10 435 000;11 040 000;40 479 000;37 525 000;16 342 000;19 166 000;25 699 000;162 354 000;139 826 000;12 023 000;8 668 000;5 310 000;-5 929 000
8;1147847270889;01.08.2014;11;03.11.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;62;40;;;;Ликвидировано (03.11.2022).;;318 133 000;211 998 000;;;;91 938 000;76 184 000;;;;66 476 000;42 577 000;;;;316 679 000;204 828 000;;;;
9;5167746408792;05.12.2016;8;06.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;;24;24;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (06.08.2025).;;;0;575 234 000;;;10 000;;3 127 000;;;;2 000;3 047 000;;;;;575 234 000;;;
10;1166234067350;26.07.2016;9;23.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;58;15;;1;;Ликвидировано вследствие банкротства (23.07.2025).;;1 376 586 000;324 786 000;;;;262 036 000;24 417 000;2 065 000;2 072 000;2 065 000;240 885 000;1 965 000;1 965 000;1 972 000;1 965 000;1 368 411 000;322 688 000;;;;
11;1117847264578;29.06.2011;14;28.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;500;143;133;115;;Ликвидировано (28.11.2024).;;273 596 000;139 375 000;134 441 000;120 692 000;;228 567 000;113 172 000;130 351 000;35 136 000;;222 706 000;105 752 000;121 532 000;25 014 000;;273 153 000;139 375 000;134 421 000;120 692 000;;
12;1195476080700;07.11.2019;5;09.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;50;51;37;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (09.08.2024).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";16 860 000;23 349 000;26 535 000;17 054 000;;4 698 000;7 158 000;868 000;638 000;;2 251 000;4 807 000;325 000;465 000;;16 835 000;23 333 000;26 317 000;17 052 000;;
13;5167746342891;18.11.2016;8;07.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;17;;;;Ликвидировано вследствие банкротства (07.05.2024).;"""Получатели поддержки правительства Москвы""";128 757 000;67 768 000;;;;57 235 000;14 926 000;244 000;;;54 577 000;12 767 000;5 189 000;;;125 740 000;67 531 000;;;;
14;1187847062633;12.03.2018;7;06.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;25;1;1;;Ликвидировано (06.05.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";421 841 000;360 811 000;8 826 000;0;;49 829 000;68 504 000;11 576 000;11 577 000;;40 033 000;58 979 000;3 606 000;3 911 000;;421 833 000;360 805 000;6 477 000;;;
15;1137746125978;15.02.2013;12;26.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;18;17;1;;Прекратило деятельность при присоединении (26.10.2023).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";569 171 000;729 715 000;409 411 000;;;422 833 000;420 416 000;253 922 000;;;219 880 000;199 067 000;34 947 000;;;554 453 000;719 649 000;404 782 000;;;
16;1227800063842;23.05.2022;3;28.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;;62;100;;Ликвидировано (28.08.2024).;;;;50 257 000;83 793 000;;;;2 858 000;9 205 000;;;;3 728 000;9 075 000;;;;50 250 000;83 777 000;;
17;1197746474298;29.07.2019;6;25.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;53;68;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (25.04.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";432 449 000;511 618 000;;;;225 520 000;318 417 000;;;;221 399 000;310 455 000;;;;429 709 000;505 190 000;;;;
18;1206300001962;21.01.2020;5;22.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;51;55;52;37;;Ликвидировано (22.04.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";32 217 000;67 903 000;48 998 000;27 581 000;0;13 124 000;25 815 000;35 685 000;14 281 000;13 848 000;6 675 000;10 166 000;13 473 000;158 000;;32 214 000;67 900 000;48 969 000;27 527 000;;-397 000
19;1167746291635;23.03.2016;9;20.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;28;20;20;15;Ликвидировано (20.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;;12 317 000;11 165 000;;;10 700 000;10 147 000;13 038 000;;;1 513 000;401 000;3 457 000;;;15 519 000;12 296 000;11 165 000;;
20;1171690119700;04.12.2017;7;25.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;77;31;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (25.11.2024).;;168 002 000;98 238 000;;;;192 637 000;170 135 000;;;;176 227 000;172 113 000;;;;167 627 000;97 551 000;;;;
21;1123668005845;06.02.2012;13;23.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;14;21;20;8;Ликвидировано (23.12.2024).;;32 904 000;46 222 000;75 563 000;61 174 000;;85 955 000;108 677 000;127 085 000;127 525 000;;528 000;2 812 000;2 380 000;1 210 000;;20 885 000;33 869 000;50 508 000;58 757 000;;
22;1167847442883;17.11.2016;8;18.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;2;59;30;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (18.03.2025).;;11 029 000;9 533 000;54 919 000;;;1 193 000;6 986 000;3 550 000;;;1 113 000;13 975 000;12 458 000;;;11 029 000;8 918 000;54 622 000;;;
23;1217700369446;09.08.2021;4;02.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;10;53;20;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (02.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;29 549 000;172 777 000;112 908 000;;;64 507 000;70 133 000;70 415 000;;;76 242 000;116 480 000;127 814 000;;;29 505 000;171 845 000;111 145 000;;
24;1127746540976;12.07.2012;13;30.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;25;10;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (30.11.2023).;;149 664 000;1 230 023 000;438 893 000;;;205 358 000;223 873 000;196 296 000;;;132 036 000;149 535 000;121 827 000;;;149 663 000;1 230 023 000;438 862 000;;;
25;1157847375817;05.11.2015;9;25.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;1;41;41;;Ликвидировано (25.09.2024).;;3 877 000;1 711 000;1 669 909 000;445 054 000;;667 000;528 000;867 374 000;621 086 000;;615 000;383 000;408 768 000;299 896 000;;3 589 000;1 708 000;1 627 000 000;388 796 000;;
26;1095031002461;17.06.2009;16;21.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;28;35;;;Прекратило деятельность при присоединении (21.08.2023).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";784 429 000;961 390 000;826 537 000;;;276 635 000;412 187 000;417 879 000;;;249 096 000;405 935 000;384 950 000;;;697 481 000;785 935 000;700 618 000;;;
27;1187847318097;06.11.2018;6;13.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;29;21;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (13.03.2024).;;66 578 000;80 863 000;41 210 000;;;10 997 000;14 597 000;1 414 000;;;9 252 000;12 328 000;2 227 000;;;66 578 000;80 863 000;41 210 000;;;
28;1147847325801;22.09.2014;11;05.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;25;20;3;;Ликвидировано (05.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 699 887 000;1 598 851 000;2 042 750 000;;;676 297 000;730 798 000;141 417 000;;;612 974 000;644 664 000;94 638 000;;;1 171 392 000;801 164 000;829 232 000;;;
29;1125027013517;31.08.2012;13;24.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;16;16;16;14;Прекратило деятельность при присоединении (24.04.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";48 673 000;49 826 000;54 722 000;57 544 000;55 317 000;13 940 000;14 989 000;13 669 000;14 813 000;11 829 000;2 258 000;3 836 000;4 232 000;5 579 000;4 482 000;48 641 000;49 813 000;54 456 000;57 522 000;55 257 000;24 113 000
30;1200200001748;16.01.2020;5;21.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;18;8;;;Ликвидировано (21.12.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";38 193 000;40 035 000;;;;13 623 000;14 896 000;;;;13 566 000;13 484 000;;;;34 597 000;38 641 000;;;;
31;1156318000849;29.01.2015;10;10.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;20;19;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (10.04.2024).;;6 840 000;7 308 000;6 992 000;;;1 577 000;1 009 000;603 000;;;1 176 000;519 000;13 000;;;6 840 000;7 308 000;6 992 000;;;
32;1217800085480;01.06.2021;4;13.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;41;79;48;;Прекратило деятельность при присоединении (13.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";;21 624 000;83 973 000;;;;2 801 000;28 273 000;;;;2 022 000;1 521 000;;;;21 624 000;83 940 000;;;
33;1127847131642;16.03.2012;13;07.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;47;47;;;Ликвидировано (07.11.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";340 764 000;485 966 000;514 404 000;;;564 270 000;702 925 000;709 788 000;;;248 023 000;279 211 000;594 778 000;;;316 993 000;478 954 000;430 430 000;;;
34;1157017022810;09.12.2015;9;04.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;8;26;32;31;Прекратило деятельность при присоединении (04.08.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";52 194 000;190 927;188 473 000;254 105 000;248 413 000;6 276 000;31 506 000;38 948 000;94 964 000;7 804 000;39 974 000;67 258 000;69 859 000;123 573 000;119 751 000;52 194 000;189 802 000;186 150 000;243 728 000;214 150 000;-83 339 000
