№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1;1205000074839;27.08.2020;5;12.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;61;55;16;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (12.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";22 672 000;122 025 000;167 041 000;59 783 000;;5 759 000;23 253 000;3 126 000;378 000;;10 974 000;23 601 000;1 583 000;353 000;;21 957 000;104 234 000;143 417 000;59 783 000;;
2;1145476149323;28.11.2014;10;16.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;10;18;30;34;15;Прекратило деятельность при присоединении (16.01.2025).;;88 447 000;135 050 000;180 993 000;203 614 000;;48 961 000;87 508 000;99 831 000;170 096 000;;47 837 000;84 737 000;96 309 000;165 133 000;;87 645 000;134 844 000;180 014 000;201 131 000;;
3;1123926064250;02.10.2012;13;18.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;20;33;;;Прекратило деятельность при присоединении (18.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";57 409 000;93 755 000;116 163 000;;;135 744 000;42 737 000;84 889 000;;;126 486 000;24 666 000;31 070 000;;;55 967 000;93 446 000;115 833 000;;;
4;1164205062130;04.05.2016;9;29.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;18;8;;;Ликвидировано вследствие банкротства (29.12.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";37 649 000;47 747 000;11 991 000;;;9 940 000;16 726 000;;;;17 767 000;34 195 000;6 343 000;;;37 649 000;45 666 000;11 991 000;;;
5;1187847149522;29.05.2018;7;25.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;9;23;25;9;26;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (25.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";53 986 000;133 351 000;215 609 000;247 377 000;256 912 000;11 237 000;29 324 000;37 487 000;78 267 000;1 368 000;2 995 000;10 319 000;4 746 000;59 713 000;;53 681 000;131 094 000;194 281 000;238 331 000;247 288 000;5 633 000
6;1095017001782;20.05.2009;16;08.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;28;29;21;18;Прекратило деятельность при присоединении (08.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";95 433 000;109 167 000;97 060 000;89 169 000;109 931 000;60 294 000;66 711 000;62 562 000;58 449 000;58 673 000;5 611 000;5 105 000;5 683 000;4 037 000;1 578 000;86 027 000;103 732 000;84 642 000;83 133 000;109 590 000;2 683 000
7;1182801003010;05.04.2018;7;20.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;21;12;19;10;Ликвидировано (20.12.2024).;;110 872 000;112 810 000;94 346 000;208 377 000;;8 922 000;14 232 000;14 691 000;18 656 000;;16 365 000;22 121 000;21 747 000;34 072 000;;110 603 000;112 810 000;94 346 000;208 377 000;;
8;1105074009248;29.09.2010;15;04.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;21;39;17;;Ликвидировано (04.09.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";14 868 000;84 258 000;183 887 000;97 888 000;;12 777 000;46 717 000;73 732 000;40 395 000;;47 000;1 504 000;3 769 000;10 000;;4 637 000;83 665 000;179 525 000;94 108 000;;
9;1203600005003;17.02.2020;5;06.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;6;26;29;;Прекратило деятельность при присоединении (06.06.2024).;;8 415 000;41 795 000;486 716 000;531 611 000;;7 909 000;19 725 000;65 459 000;65 678 000;;7 812 000;18 008 000;57 719 000;54 911 000;;8 415 000;41 795 000;486 716 000;521 393 000;;
10;1103019000050;01.02.2010;15;15.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;26;19;17;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (15.04.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";9 121 000;9 004 000;7 196 000;6 938 000;;662 000;721 000;217 000;250 000;;67 000;107 000;39 000;;;9 121 000;9 004 000;7 188 000;6 930 000;;
11;1129847033491;27.12.2012;12;27.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;35;;;;Ликвидировано (27.10.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";1 448 201 000;1 174 698 000;;;;189 970 000;158 759 000;;;;186 576 000;150 693 000;;;;1 443 322 000;1 162 990 000;;;;
12;1092468006290;20.02.2009;16;24.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;138;109;2;;;Ликвидировано (24.03.2023).;;1 153 797 000;792 271 000;24 391 000;;;511 611 000;283 889 000;94 000;;;337 631 000;119 512 000;;;;1 056 318 000;724 565 000;7 678 000;;;
13;1135049000437;01.11.2013;11;26.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;419;470;461;;;Прекратило деятельность при присоединении (26.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";466 709 000;622 693 000;624 069 000;;;91 344 000;220 514 000;142 875 000;;;84 123 000;182 053 000;98 151 000;;;466 511 000;592 603 000;615 836 000;;;
14;1197746284427;24.04.2019;6;28.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;39;44;28;63;;Ликвидировано (28.06.2024).;;194 418 000;384 473 000;810 800 000;1 225 665 000;;168 833 000;267 279 000;565 666 000;72 839 000;;174 304 000;273 215 000;559 011 000;68 038 000;;184 381 000;384 358 000;777 630 000;1 225 532 000;;
15;1123668039681;09.08.2012;13;06.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;24;45;49;;Ликвидировано (06.11.2024).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";13 882 000;34 371 000;111 412 000;74 759 000;;10 787 000;11 147 000;59 133 000;17 088 000;;1 723 000;1 788 000;4 735 000;13 113 000;;13 850 000;34 371 000;111 383 000;74 759 000;;
16;1126376000409;12.04.2012;13;31.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;208;89;12;;;Прекратило деятельность при присоединении (31.10.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 718 435 000;1 323 245 000;;;;812 622 000;738 838 000;;;;593 435 000;487 148 000;;;;1 486 419 000;1 129 743 000;;;;
17;5137746202303;16.12.2013;11;09.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;16;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (09.12.2022).;;12 322 000;57 242 000;;;;68 787 000;6 550 000;;;;6 645 000;347 000;;;;12 282 000;53 192 000;;;;
18;1145050004660;15.09.2014;11;28.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;27;47;18;;Прекратило деятельность при присоединении (28.06.2024).;;2 477 000;35 516 000;64 011 000;52 968 000;;5 123 000;24 873 000;30 768 000;12 514 000;;4 664 000;49 027 000;74 338 000;86 493 000;;2 343 000;35 198 000;63 652 000;52 700 000;;
19;1102801007650;21.06.2010;15;07.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;58;35;20;1;;Ликвидировано (07.05.2024).;;172 924 000;178 996 000;77 569 000;862 000;0;20 643 000;26 164 000;7 419 000;4 555 000;;18 908 000;21 010 000;1 621 000;9 000;;170 438 000;177 615 000;74 852 000;771 000;;
20;1137847497600;23.12.2013;11;18.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;20;13;6;;Ликвидировано (18.09.2024).;;666 734 000;893 003 000;741 541 000;678 304 000;;424 151 000;364 127 000;353 898 000;250 745 000;;247 749 000;183 769 000;171 417 000;63 439 000;;601 003 000;880 460 000;740 113 000;677 603 000;;
