,Наименование,Год,Регистрационный номер,"Возраст компании, лет",Дата ликвидации,Вид деятельности/отрасль,Форма собственности,Важная информация,"Коэффициент быстрой ликвидности, %","Коэффициент обеспеченности собственными оборотными средствами, %","Коэффициент оборачиваемости совокупных активов, %","Коэффициент текущей ликвидности, %","Оборачиваемость дебиторской задолженности, разы","Оборачиваемость кредиторской задолженности, разы","Рентабельность активов (ROA), %","Рентабельность капитала (ROE), %","Рентабельность продаж, %","Соотношение совокупного долга к капиталу, %",next_year_liqudation
1370,"БАШПРОМКОМПЛЕКТ, ООО",2015,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7914,-0.2635,0.524,0.7914,0.6,0.5,-0.0874,1.9396,-0.202,0.0,0
1371,"БАШПРОМКОМПЛЕКТ, ООО",2016,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7608,-0.3144,0.0188,0.7608,0.0,0.0,-0.043,0.197,-3.4483,0.0,0
1372,"БАШПРОМКОМПЛЕКТ, ООО",2017,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7428,-0.3463,0.0,0.7428,0.0,0.0,-0.0215,0.0846,,0.0,1
1806,"БТЗ, ОАО",2015,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.023,-7.1562,0.0144,0.1729,0.2,0.0,-0.295,0.1855,-8.8742,-0.5052,0
1807,"БТЗ, ОАО",2016,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.0403,-33.2536,0.0286,0.0403,0.4,0.0,-0.5039,0.2107,-15.4967,-0.3991,0
1808,"БТЗ, ОАО",2017,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.0309,-42.5811,0.0,0.0309,0.0,0.0,-0.066,0.0197,,-0.3574,1
1360,"БАЧА, ООО",2015,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,0.0001,-674.2656,18.2153,0.0015,6462.8,0.6,-2.9335,0.0633,-0.143,-0.3012,0
1361,"БАЧА, ООО",2016,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,0.0007,-536.7614,17.9825,0.0019,873.5,0.4,-5.0979,0.0919,-0.269,-0.2786,0
1362,"БАЧА, ООО",2017,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,,-49183.0,16.7168,,476.4,0.2,-6.5915,0.055,-0.2976,-0.2682,1
15091,"ФАРММЕД, ООО",2015,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,1.0078,0.6126,3.1452,2.5813,9.3,8.1,0.0784,0.142,0.037,0.0487,0
15093,"ФАРММЕД, ООО",2016,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,0.0446,-6.2482,2.2228,0.138,6.1,2.8,-1.9996,-14.0879,-0.2106,-0.1055,0
15095,"ФАРММЕД, ООО",2017,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,0.0002,-5612.6667,1.3113,0.0002,4.1,0.1,-1.1611,0.0892,-0.069,-0.0986,1
15175,"ФИРМА ВЛАДИМИР, ЗАО",2015,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0585,-8.6262,0.8963,0.1293,69.5,3.5,-0.0072,-0.0107,0.0158,0.1237,0
15176,"ФИРМА ВЛАДИМИР, ЗАО",2016,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0637,-8.3398,0.0183,0.1326,1.0,0.1,-0.0064,-0.0106,0.0621,0.1251,0
15177,"ФИРМА ВЛАДИМИР, ЗАО",2017,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.306,-2.2681,0.4491,0.306,45.7,1.3,-0.1228,-0.2027,0.9443,0.0,1
1129,"АСТЭМ, ООО",2015,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,0.6849,0.1141,2.5049,1.1288,5.0,2.8,0.0079,0.0807,0.0053,0.0,0
1130,"АСТЭМ, ООО",2016,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,1.0024,0.7223,1.1778,3.6014,1.8,1.4,,,0.0008,0.0,0
1131,"АСТЭМ, ООО",2017,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,0.0069,-21.2427,0.0,0.045,0.0,0.0,-20.1957,2.1538,,0.0,1
15222,"ФИРМА ЧУВАШМЯСОПРОМ, ООО",2015,1022100981385.0,33.0,2018,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (23.08.2018).,0.4439,0.1854,0.7219,1.2276,2.8,1.0,-0.0586,-0.2449,-0.0382,0.1397,0
15223,"ФИРМА ЧУВАШМЯСОПРОМ, ООО",2016,1022100981385.0,33.0,2018,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (23.08.2018).,0.0468,-9.6008,0.7051,0.0943,2.1,0.6,-1.0737,6.4757,-0.1205,0.0,0
