iter	Passed	Remaining
0	15	31217
1	21	21585
2	30	19983
3	37	18572
4	44	17841
5	50	16923
6	56	16170
7	62	15674
8	68	15094
9	74	14813
10	80	14614
11	86	14319
12	92	14106
13	96	13686
14	102	13533
15	107	13376
16	113	13191
17	118	13064
18	123	12849
19	128	12681
20	133	12593
21	138	12467
22	143	12344
23	149	12307
24	154	12194
25	159	12094
26	164	11998
27	169	11913
28	174	11834
29	179	11771
30	184	11718
31	189	11677
32	195	11626
33	200	11609
34	206	11582
35	211	11518
36	216	11507
37	222	11463
38	227	11426
39	235	11545
40	241	11541
41	247	11541
42	252	11492
43	257	11449
44	262	11405
45	267	11366
46	273	11365
47	278	11337
48	284	11331
49	290	11319
50	295	11277
51	300	11252
52	306	11254
53	311	11216
54	316	11185
55	321	11163
56	326	11135
57	331	11111
58	337	11093
59	342	11085
60	348	11090
61	354	11079
62	359	11043
63	364	11017
64	369	10997
65	374	10962
66	379	10939
67	383	10909
68	389	10887
69	393	10856
70	399	10841
71	404	10821
72	428	11321
73	455	11852
74	461	11850
75	468	11856
76	477	11931
77	487	12022
78	493	12008
79	498	11975
80	505	11978
81	510	11942
82	515	11898
83	520	11875
84	526	11856
85	531	11835
86	538	11843
87	543	11805
88	549	11801
89	555	11788
90	560	11748
91	565	11723
92	570	11698
93	575	11669
94	581	11653
95	585	11621
96	591	11598
97	596	11585
98	602	11560
99	607	11535
100	612	11523
101	617	11491
102	622	11464
103	627	11442
104	633	11434
105	639	11425
106	645	11411
107	650	11395
108	655	11377
109	660	11351
110	665	11327
111	670	11305
112	676	11289
113	682	11285
114	688	11284
115	695	11288
116	702	11303
117	707	11289
118	713	11273
119	718	11251
120	722	11222
121	728	11218
122	734	11208
123	740	11195
124	746	11191
125	751	11184
126	757	11169
127	762	11156
128	768	11146
129	773	11126
130	779	11115
131	784	11094
132	789	11084
133	795	11070
134	800	11057
135	805	11040
136	810	11027
137	815	11005
138	821	10997
139	826	10979
140	831	10968
141	836	10951
142	841	10931
143	847	10921
144	852	10909
145	857	10891
146	862	10875
147	868	10862
148	873	10849
149	878	10830
150	883	10817
151	888	10802
152	894	10799
153	899	10787
154	905	10772
155	910	10763
156	915	10749
157	921	10741
158	926	10732
159	932	10718
160	937	10702
161	942	10698
162	948	10691
163	953	10678
164	959	10673
165	965	10669
166	971	10667
167	978	10665
168	990	10728
169	996	10721
170	1001	10716
171	1007	10711
172	1013	10702
173	1018	10693
174	1024	10684
175	1029	10668
176	1035	10665
177	1041	10656
178	1047	10651
179	1051	10635
180	1056	10620
181	1061	10603
182	1066	10593
183	1072	10580
184	1074	10539
185	1079	10529
186	1085	10520
187	1092	10526
188	1098	10525
189	1104	10525
190	1112	10535
191	1118	10536
192	1125	10535
193	1131	10531
194	1137	10529
195	1143	10529
196	1150	10527
197	1155	10520
198	1158	10485
199	1163	10473
200	1170	10475
201	1176	10472
202	1181	10460
203	1186	10446
204	1191	10436
205	1197	10426
206	1202	10419
207	1207	10407
208	1214	10403
209	1220	10402
210	1226	10401
211	1232	10393
212	1248	10476
213	1255	10480
214	1261	10472
215	1267	10464
216	1272	10459
217	1278	10447
218	1284	10448
219	1290	10441
220	1296	10435
221	1301	10424
222	1306	10411
223	1311	10401
224	1317	10391
225	1322	10381
226	1327	10370
227	1333	10361
228	1339	10356
229	1344	10346
230	1349	10338
231	1355	10331
232	1361	10321
233	1367	10316
234	1372	10310
235	1377	10298
236	1383	10288
237	1389	10286
238	1394	10275
239	1400	10270
240	1406	10262
241	1411	10254
242	1416	10241
243	1421	10233
244	1427	10222
245	1432	10213
246	1437	10204
247	1443	10199
248	1448	10186
249	1454	10178
250	1458	10163
251	1463	10152
252	1469	10148
253	1477	10159
254	1484	10157
255	1489	10147
256	1495	10139
257	1500	10133
258	1505	10119
259	1507	10091
260	1513	10084
261	1518	10074
262	1523	10063
263	1529	10054
264	1534	10043
265	1540	10044
266	1546	10039
267	1551	10028
268	1557	10019
269	1562	10008
270	1567	9998
271	1572	9989
272	1577	9978
273	1582	9967
274	1587	9957
275	1592	9948
276	1597	9938
277	1603	9931
278	1608	9924
279	1614	9915
280	1619	9906
281	1624	9898
282	1629	9887
283	1635	9883
284	1641	9874
285	1646	9865
286	1651	9858
287	1656	9848
288	1662	9843
289	1667	9834
290	1673	9828
291	1678	9820
292	1684	9811
293	1689	9803
294	1694	9793
295	1699	9782
296	1704	9773
297	1709	9764
298	1714	9753
299	1719	9744
300	1725	9738
301	1730	9730
302	1736	9723
303	1741	9717
304	1746	9708
305	1751	9698
306	1757	9689
307	1761	9678
308	1767	9674
309	1772	9663
310	1777	9654
311	1782	9644
312	1788	9637
313	1793	9627
314	1798	9619
315	1803	9610
316	1808	9603
317	1813	9593
318	1818	9584
319	1824	9577
320	1829	9568
321	1834	9562
322	1839	9551
323	1845	9544
324	1851	9540
325	1856	9531
326	1862	9527
327	1867	9520
328	1872	9512
329	1878	9505
330	1883	9497
331	1888	9489
332	1894	9481
333	1899	9473
334	1904	9463
335	1909	9456
336	1914	9446
337	1919	9440
338	1925	9432
339	1930	9424
340	1935	9415
341	1941	9410
342	1947	9408
343	1953	9403
344	1958	9395
345	1964	9389
346	1970	9384
347	1974	9375
348	1981	9374
